"deploymentID", "timestamp", "variable", "value"
30,1524141660,"water temperature",12.156
30,1524142260,"water temperature",11.693
30,1524142860,"water temperature",11.568
30,1524143460,"water temperature",11.496
30,1524144060,"water temperature",11.648
30,1524144660,"water temperature",11.496
30,1524145260,"water temperature",11.254
30,1524145860,"water temperature",11.173
30,1524146460,"water temperature",11.083
30,1524147060,"water temperature",11.092
30,1524147660,"water temperature",11.155
30,1524148260,"water temperature",11.11
30,1524148860,"water temperature",11.092
30,1524149460,"water temperature",11.038
30,1524150060,"water temperature",10.975
30,1524150660,"water temperature",10.894
30,1524151260,"water temperature",10.867
30,1524151860,"water temperature",10.876
30,1524152460,"water temperature",10.894
30,1524153060,"water temperature",10.885
30,1524153660,"water temperature",10.849
30,1524154260,"water temperature",10.777
30,1524154860,"water temperature",10.749
30,1524155460,"water temperature",10.614
30,1524156060,"water temperature",10.55
30,1524156660,"water temperature",10.478
30,1524157260,"water temperature",10.359
30,1524157860,"water temperature",10.278
30,1524158460,"water temperature",10.168
30,1524159060,"water temperature",10.113
30,1524159660,"water temperature",10.013
30,1524160260,"water temperature",9.94
30,1524160860,"water temperature",9.903
30,1524161460,"water temperature",9.83
30,1524162060,"water temperature",9.775
30,1524162660,"water temperature",9.711
30,1524163260,"water temperature",9.619
30,1524163860,"water temperature",9.582
30,1524164460,"water temperature",9.471
30,1524165060,"water temperature",9.416
30,1524165660,"water temperature",9.342
30,1524166260,"water temperature",9.259
30,1524166860,"water temperature",9.176
30,1524167460,"water temperature",9.12
30,1524168060,"water temperature",9.046
30,1524168660,"water temperature",8.99
30,1524169260,"water temperature",8.906
30,1524169860,"water temperature",8.823
30,1524170460,"water temperature",8.739
30,1524171060,"water temperature",8.664
30,1524171660,"water temperature",8.645
30,1524172260,"water temperature",8.571
30,1524172860,"water temperature",8.514
30,1524173460,"water temperature",8.477
30,1524174060,"water temperature",8.402
30,1524174660,"water temperature",8.374
30,1524175260,"water temperature",8.299
30,1524175860,"water temperature",8.223
30,1524176460,"water temperature",8.176
30,1524177060,"water temperature",8.129
30,1524177660,"water temperature",8.063
30,1524178260,"water temperature",7.997
30,1524178860,"water temperature",7.978
30,1524179460,"water temperature",7.94
30,1524180060,"water temperature",7.884
30,1524180660,"water temperature",7.817
30,1524181260,"water temperature",7.76
30,1524181860,"water temperature",7.713
30,1524182460,"water temperature",7.713
30,1524183060,"water temperature",7.656
30,1524183660,"water temperature",7.637
30,1524184260,"water temperature",7.57
30,1524184860,"water temperature",7.542
30,1524185460,"water temperature",7.504
30,1524186060,"water temperature",7.447
30,1524186660,"water temperature",7.399
30,1524187260,"water temperature",7.37
30,1524187860,"water temperature",7.342
30,1524188460,"water temperature",7.294
30,1524189060,"water temperature",7.275
30,1524189660,"water temperature",7.246
30,1524190260,"water temperature",7.198
30,1524190860,"water temperature",7.179
30,1524191460,"water temperature",7.131
30,1524192060,"water temperature",7.093
30,1524192660,"water temperature",7.112
30,1524193260,"water temperature",7.045
30,1524193860,"water temperature",7.006
30,1524194460,"water temperature",7.016
30,1524195060,"water temperature",6.987
30,1524195660,"water temperature",6.92
30,1524196260,"water temperature",6.9
30,1524196860,"water temperature",6.891
30,1524197460,"water temperature",6.871
30,1524198060,"water temperature",6.833
30,1524198660,"water temperature",6.843
30,1524199260,"water temperature",6.804
30,1524199860,"water temperature",6.765
30,1524200460,"water temperature",6.785
30,1524201060,"water temperature",6.765
30,1524201660,"water temperature",6.775
30,1524202260,"water temperature",6.775
30,1524202860,"water temperature",6.794
30,1524203460,"water temperature",6.814
30,1524204060,"water temperature",6.852
30,1524204660,"water temperature",6.9
30,1524205260,"water temperature",6.968
30,1524205860,"water temperature",7.073
30,1524206460,"water temperature",7.15
30,1524207060,"water temperature",7.265
30,1524207660,"water temperature",7.389
30,1524208260,"water temperature",7.513
30,1524208860,"water temperature",7.666
30,1524209460,"water temperature",7.836
30,1524210060,"water temperature",7.988
30,1524210660,"water temperature",8.195
30,1524211260,"water temperature",8.411
30,1524211860,"water temperature",8.608
30,1524212460,"water temperature",8.813
30,1524213060,"water temperature",8.99
30,1524213660,"water temperature",9.222
30,1524214260,"water temperature",9.434
30,1524214860,"water temperature",9.674
30,1524215460,"water temperature",9.912
30,1524216060,"water temperature",10.168
30,1524216660,"water temperature",10.314
30,1524217260,"water temperature",10.55
30,1524217860,"water temperature",10.623
30,1524218460,"water temperature",10.804
30,1524219060,"water temperature",11.029
30,1524219660,"water temperature",11.326
30,1524220260,"water temperature",11.425
30,1524220860,"water temperature",11.505
30,1524221460,"water temperature",11.818
30,1524222060,"water temperature",11.844
30,1524222660,"water temperature",11.916
30,1524223260,"water temperature",12.227
30,1524223860,"water temperature",12.457
30,1524224460,"water temperature",12.501
30,1524225060,"water temperature",12.924
30,1524225660,"water temperature",13.003
30,1524226260,"water temperature",12.915
30,1524226860,"water temperature",13.021
30,1524227460,"water temperature",12.915
30,1524228060,"water temperature",12.986
30,1524228660,"water temperature",12.907
30,1524229260,"water temperature",12.827
30,1524229860,"water temperature",12.942
30,1524230460,"water temperature",12.801
30,1524231060,"water temperature",12.713
30,1524231660,"water temperature",12.634
30,1524232260,"water temperature",12.775
30,1524232860,"water temperature",12.863
30,1524233460,"water temperature",12.783
30,1524234060,"water temperature",12.722
30,1524234660,"water temperature",12.625
30,1524235260,"water temperature",12.439
30,1524235860,"water temperature",12.236
30,1524236460,"water temperature",11.969
30,1524237060,"water temperature",11.818
30,1524237660,"water temperature",11.711
30,1524238260,"water temperature",11.604
30,1524238860,"water temperature",11.505
30,1524239460,"water temperature",11.38
30,1524240060,"water temperature",11.218
30,1524240660,"water temperature",11.218
30,1524241260,"water temperature",11.146
30,1524241860,"water temperature",11.137
30,1524242460,"water temperature",11.083
30,1524243060,"water temperature",11.02
30,1524243660,"water temperature",10.912
30,1524244260,"water temperature",10.786
30,1524244860,"water temperature",10.677
30,1524245460,"water temperature",10.514
30,1524246060,"water temperature",10.405
30,1524246660,"water temperature",10.278
30,1524247260,"water temperature",10.123
30,1524247860,"water temperature",10.004
30,1524248460,"water temperature",9.894
30,1524249060,"water temperature",9.738
30,1524249660,"water temperature",9.619
30,1524250260,"water temperature",9.517
30,1524250860,"water temperature",9.397
30,1524251460,"water temperature",9.296
30,1524252060,"water temperature",9.185
30,1524252660,"water temperature",9.074
30,1524253260,"water temperature",8.962
30,1524253860,"water temperature",8.888
30,1524254460,"water temperature",8.813
30,1524255060,"water temperature",8.692
30,1524255660,"water temperature",8.636
30,1524256260,"water temperature",8.571
30,1524256860,"water temperature",8.496
30,1524257460,"water temperature",8.402
30,1524258060,"water temperature",8.336
30,1524258660,"water temperature",8.289
30,1524259260,"water temperature",8.233
30,1524259860,"water temperature",8.167
30,1524260460,"water temperature",8.11
30,1524261060,"water temperature",8.073
30,1524261660,"water temperature",7.978
30,1524262260,"water temperature",7.959
30,1524262860,"water temperature",7.931
30,1524263460,"water temperature",7.893
30,1524264060,"water temperature",7.846
30,1524264660,"water temperature",7.827
30,1524265260,"water temperature",7.77
30,1524265860,"water temperature",7.732
30,1524266460,"water temperature",7.675
30,1524267060,"water temperature",7.637
30,1524267660,"water temperature",7.58
30,1524268260,"water temperature",7.59
30,1524268860,"water temperature",7.57
30,1524269460,"water temperature",7.513
30,1524270060,"water temperature",7.504
30,1524270660,"water temperature",7.475
30,1524271260,"water temperature",7.437
30,1524271860,"water temperature",7.447
30,1524272460,"water temperature",7.408
30,1524273060,"water temperature",7.37
30,1524273660,"water temperature",7.37
30,1524274260,"water temperature",7.351
30,1524274860,"water temperature",7.342
30,1524275460,"water temperature",7.332
30,1524276060,"water temperature",7.351
30,1524276660,"water temperature",7.342
30,1524277260,"water temperature",7.332
30,1524277860,"water temperature",7.342
30,1524278460,"water temperature",7.323
30,1524279060,"water temperature",7.323
30,1524279660,"water temperature",7.294
30,1524280260,"water temperature",7.313
30,1524280860,"water temperature",7.303
30,1524281460,"water temperature",7.294
30,1524282060,"water temperature",7.294
30,1524282660,"water temperature",7.284
30,1524283260,"water temperature",7.265
30,1524283860,"water temperature",7.294
30,1524284460,"water temperature",7.303
30,1524285060,"water temperature",7.303
30,1524285660,"water temperature",7.294
30,1524286260,"water temperature",7.284
30,1524286860,"water temperature",7.284
30,1524287460,"water temperature",7.284
30,1524288060,"water temperature",7.342
30,1524288660,"water temperature",7.342
30,1524289260,"water temperature",7.38
30,1524289860,"water temperature",7.389
30,1524290460,"water temperature",7.418
30,1524291060,"water temperature",7.485
30,1524291660,"water temperature",7.475
30,1524292260,"water temperature",7.542
30,1524292860,"water temperature",7.609
30,1524293460,"water temperature",7.723
30,1524294060,"water temperature",7.817
30,1524294660,"water temperature",7.912
30,1524295260,"water temperature",8.016
30,1524295860,"water temperature",8.176
30,1524296460,"water temperature",8.299
30,1524297060,"water temperature",8.383
30,1524297660,"water temperature",8.468
30,1524298260,"water temperature",8.692
30,1524298860,"water temperature",8.86
30,1524299460,"water temperature",9.027
30,1524300060,"water temperature",9.277
30,1524300660,"water temperature",9.462
30,1524301260,"water temperature",9.628
30,1524301860,"water temperature",9.756
30,1524302460,"water temperature",10.013
30,1524303060,"water temperature",10.205
30,1524303660,"water temperature",10.35
30,1524304260,"water temperature",10.605
30,1524304860,"water temperature",10.777
30,1524305460,"water temperature",10.867
30,1524306060,"water temperature",11.047
30,1524306660,"water temperature",11.29
30,1524307260,"water temperature",11.595
30,1524307860,"water temperature",11.862
30,1524308460,"water temperature",12.031
30,1524309060,"water temperature",12.191
30,1524309660,"water temperature",12.324
30,1524310260,"water temperature",12.492
30,1524310860,"water temperature",12.695
30,1524311460,"water temperature",12.863
30,1524312060,"water temperature",12.942
30,1524312660,"water temperature",13.091
30,1524313260,"water temperature",13.179
30,1524313860,"water temperature",13.249
30,1524314460,"water temperature",13.31
30,1524315060,"water temperature",13.389
30,1524315660,"water temperature",13.406
30,1524316260,"water temperature",13.406
30,1524316860,"water temperature",13.371
30,1524317460,"water temperature",13.363
30,1524318060,"water temperature",13.371
30,1524318660,"water temperature",13.363
30,1524319260,"water temperature",13.31
30,1524319860,"water temperature",13.231
30,1524320460,"water temperature",13.126
30,1524321060,"water temperature",13.056
30,1524321660,"water temperature",12.924
30,1524322260,"water temperature",12.845
30,1524322860,"water temperature",12.731
30,1524323460,"water temperature",12.634
30,1524324060,"water temperature",12.519
30,1524324660,"water temperature",12.315
30,1524325260,"water temperature",12.2
30,1524325860,"water temperature",12.076
30,1524326460,"water temperature",11.898
30,1524327060,"water temperature",11.746
30,1524327660,"water temperature",11.604
30,1524328260,"water temperature",11.416
30,1524328860,"water temperature",11.254
30,1524329460,"water temperature",11.065
30,1524330060,"water temperature",10.912
30,1524330660,"water temperature",10.731
30,1524331260,"water temperature",10.577
30,1524331860,"water temperature",10.468
30,1524332460,"water temperature",10.341
30,1524333060,"water temperature",10.205
30,1524333660,"water temperature",10.077
30,1524334260,"water temperature",9.903
30,1524334860,"water temperature",9.784
30,1524335460,"water temperature",9.637
30,1524336060,"water temperature",9.499
30,1524336660,"water temperature",9.37
30,1524337260,"water temperature",9.231
30,1524337860,"water temperature",9.138
30,1524338460,"water temperature",9.018
